band,seed,topo,n_static_ep,n_change_ep,network_size,network_size_fixed,ownable_count,ownable_count_fixed,root_owned_static,cost,mechanical,behavioural_residual,conquest,relative_fragility
30-40,100,64,17,24,33,True,30,True,23.88235294117647,3.965686274509803,2.0,1.9656862745098032,0.7960784313725491,0.08230706075533659
30-40,100,92,48,27,30,True,28,True,23.875,4.171296296296298,2.2222222222222223,1.9490740740740753,0.8526785714285714,0.081636610432422
30-40,123,15,42,66,36,True,35,True,22.857142857142858,4.7359307359307365,1.2424242424242424,3.4935064935064943,0.653061224489796,0.1528409090909091
30-40,123,19,29,12,31,True,29,True,21.413793103448278,2.8304597701149454,1.5833333333333333,1.2471264367816122,0.7384066587395958,0.0582393988191091
30-40,123,3,60,66,32,True,29,True,24.216666666666665,5.1106060606060595,1.378787878787879,3.7318181818181806,0.8350574712643678,0.15410123255959454
30-40,123,32,48,12,33,True,30,True,21.229166666666668,4.229166666666668,0.8333333333333334,3.3958333333333344,0.7076388888888889,0.1599607458292444
30-40,123,44,84,48,34,True,32,True,22.035714285714285,4.431547619047617,1.1666666666666667,3.26488095238095,0.6886160714285714,0.1481631550513235
30-40,123,50,53,89,33,True,28,True,21.264150943396228,7.14055543777825,0.6629213483146067,6.477634089463644,0.7594339622641509,0.304626980249843
30-40,123,64,36,65,33,True,30,True,23.22222222222222,3.914529914529915,1.4615384615384615,2.452991452991453,0.774074074074074,0.1056312108943688
30-40,123,92,48,42,30,True,28,True,21.604166666666668,4.4613095238095255,1.6904761904761905,2.770833333333335,0.771577380952381,0.12825458052073294
30-40,200,15,78,60,36,True,35,True,26.692307692307693,3.1589743589743584,1.6833333333333333,1.475641025641025,0.7626373626373627,0.05528338136407298
30-40,200,19,48,48,31,True,29,True,22.458333333333332,3.083333333333332,1.6666666666666667,1.4166666666666654,0.7744252873563218,0.0630797773654916
30-40,200,3,72,36,32,True,29,True,24.069444444444443,2.319444444444443,1.3888888888888888,0.930555555555554,0.8299808429118773,0.038661281015579856
30-40,200,32,42,42,33,True,30,True,22.714285714285715,2.7857142857142883,1.5238095238095237,1.2619047619047645,0.7571428571428572,0.05555555555555567
30-40,200,44,65,64,34,True,32,True,25.06153846153846,3.1240384615384613,1.734375,1.3896634615384613,0.7831730769230769,0.05545004604051564
