band,seed,topo,n_static_ep,n_change_ep,network_size,network_size_fixed,ownable_count,ownable_count_fixed,root_owned_static,cost,mechanical,behavioural_residual,conquest,relative_fragility,source,degree,population,n_mech_removal_episodes
10-15,300,62.0,42,18,10,True,9,True,5.523809523809524,1.3571428571428568,0.9444444444444444,0.4126984126984123,0.6137566137566137,0.0747126436781608,main_study,8.5,,
10-15,300,76.0,35,18,12,True,10,True,6.4,0.7333333333333334,0.8333333333333334,-0.0999999999999999,0.64,-0.0156249999999999,main_study,7.833333333333333,,
30-40,42,15.0,42,78,36,True,35,True,26.452380952380956,4.606227106227106,1.4743589743589745,3.1318681318681314,0.7557823129251701,0.1183964550301183,main_study,26.194444444444443,,
30-40,42,19.0,48,37,31,True,29,True,23.229166666666668,3.9318693693693696,2.135135135135135,1.7967342342342345,0.8010057471264368,0.0773482002181553,main_study,22.322580645161292,,
30-40,42,3.0,54,30,32,True,29,True,26.09259259259259,5.49259259259259,2.7666666666666666,2.725925925925924,0.8997445721583652,0.1044712562100779,main_study,21.46875,,
30-40,42,32.0,53,54,33,True,30,True,24.73584905660377,4.735849056603772,1.462962962962963,3.272886093640809,0.8245283018867924,0.132313472893183,main_study,23.696969696969695,,
30-40,42,44.0,78,36,34,True,32,True,24.756410256410252,3.0619658119658126,1.7777777777777777,1.284188034188035,0.7736378205128205,0.0518729501122044,main_study,25.058823529411764,,
30-40,42,50.0,53,35,33,True,28,True,20.73584905660377,2.421563342318059,1.2,1.2215633423180592,0.7405660377358491,0.0589106980371766,main_study,20.303030303030305,,
30-40,42,64.0,42,30,33,True,30,True,24.666666666666668,3.033333333333335,1.4666666666666666,1.5666666666666684,0.8222222222222223,0.0635135135135135,main_study,19.818181818181817,,
30-40,42,92.0,30,30,30,True,28,True,22.5,4.633333333333333,2.7666666666666666,1.8666666666666665,0.8035714285714286,0.0829629629629629,main_study,16.366666666666667,,
30-40,100,15.0,41,47,36,True,35,True,23.78048780487805,4.0570835495589,1.148936170212766,2.908147379346134,0.6794425087108014,0.122291325695581,main_study,26.194444444444443,,
30-40,100,19.0,54,24,31,True,29,True,22.166666666666668,3.75,1.9166666666666667,1.8333333333333333,0.764367816091954,0.0827067669172932,main_study,22.322580645161292,,
30-40,100,3.0,42,54,32,True,29,True,23.0,3.1296296296296298,1.3148148148148149,1.8148148148148149,0.7931034482758621,0.0789049919484702,main_study,21.46875,,
30-40,100,32.0,138,72,33,True,30,True,21.41304347826087,3.1491545893719817,1.2222222222222223,1.9269323671497596,0.713768115942029,0.0899887196841511,main_study,23.696969696969695,,
30-40,100,44.0,12,36,34,True,32,True,23.5,3.666666666666668,1.7222222222222223,1.9444444444444453,0.734375,0.08274231678487,main_study,25.058823529411764,,
30-40,100,50.0,48,36,33,True,28,True,20.8125,4.868055555555555,1.3611111111111112,3.506944444444444,0.7433035714285714,0.1685018351685018,main_study,20.303030303030305,,
30-40,100,64.0,17,24,33,True,30,True,23.88235294117647,3.965686274509803,2.0,1.9656862745098032,0.7960784313725491,0.0823070607553365,main_study,19.818181818181817,,
30-40,100,92.0,48,27,30,True,28,True,23.875,4.171296296296298,2.2222222222222223,1.9490740740740755,0.8526785714285714,0.081636610432422,main_study,16.366666666666667,,
30-40,123,15.0,42,66,36,True,35,True,22.857142857142858,4.7359307359307365,1.2424242424242424,3.4935064935064943,0.653061224489796,0.1528409090909091,main_study,26.194444444444443,,
30-40,123,19.0,29,12,31,True,29,True,21.41379310344828,2.830459770114945,1.5833333333333333,1.2471264367816122,0.7384066587395958,0.0582393988191091,main_study,22.322580645161292,,
30-40,123,3.0,60,66,32,True,29,True,24.216666666666665,5.11060606060606,1.378787878787879,3.7318181818181806,0.8350574712643678,0.1541012325595945,main_study,21.46875,,
30-40,123,32.0,48,12,33,True,30,True,21.229166666666668,4.229166666666668,0.8333333333333334,3.3958333333333344,0.7076388888888889,0.1599607458292444,main_study,23.696969696969695,,
30-40,123,44.0,84,48,34,True,32,True,22.035714285714285,4.431547619047617,1.1666666666666667,3.26488095238095,0.6886160714285714,0.1481631550513235,main_study,25.058823529411764,,
30-40,123,50.0,53,89,33,True,28,True,21.264150943396228,7.14055543777825,0.6629213483146067,6.477634089463644,0.7594339622641509,0.304626980249843,main_study,20.303030303030305,,
30-40,123,64.0,36,65,33,True,30,True,23.22222222222222,3.914529914529915,1.4615384615384617,2.452991452991453,0.774074074074074,0.1056312108943688,main_study,19.818181818181817,,
30-40,123,92.0,48,42,30,True,28,True,21.604166666666668,4.4613095238095255,1.6904761904761905,2.770833333333335,0.771577380952381,0.1282545805207329,main_study,16.366666666666667,,
30-40,200,15.0,78,60,36,True,35,True,26.692307692307693,3.1589743589743584,1.6833333333333331,1.475641025641025,0.7626373626373627,0.0552833813640729,main_study,26.194444444444443,,
30-40,200,19.0,48,48,31,True,29,True,22.45833333333333,3.083333333333332,1.6666666666666667,1.4166666666666654,0.7744252873563218,0.0630797773654916,main_study,22.322580645161292,,
30-40,200,3.0,72,36,32,True,29,True,24.069444444444443,2.319444444444443,1.3888888888888888,0.930555555555554,0.8299808429118773,0.0386612810155798,main_study,21.46875,,
30-40,200,32.0,42,42,33,True,30,True,22.714285714285715,2.7857142857142883,1.5238095238095235,1.2619047619047643,0.7571428571428572,0.0555555555555556,main_study,23.696969696969695,,
30-40,200,44.0,65,64,34,True,32,True,25.06153846153846,3.1240384615384613,1.734375,1.389663461538461,0.7831730769230769,0.0554500460405156,main_study,25.058823529411764,,
